t,t0,treatment_period,yit,country,x_load,temp
17565,0,0,9345,lithuania,217636,22.844
17565,0,0,7777.75,luxembourg,331449,28.814
17565,0,0,1430210.5,netherlands,8203044,32.879
17565,0,0,50424,norway,2979879,20.635
17565,0,0,2531303,poland,3040518,26.589
17565,0,0,506896,portugal,947986,47.42
17565,0,0,574887,romania,1098317,40.233
17565,0,0,77122,slovakia,530335,32.869
17565,0,0,1735408,spain,4712506,35.846
17572,0,0,348746,austria,4740126,34.641
17572,0,0,408223,belgium,6360174,38.516
17572,0,0,181442,bosnia_herzegovina,199119,NA
17572,0,0,393466,bulgaria,750046,34.571
17572,0,0,739594,czech_republic,1255276,31.851
17572,0,0,239233,denmark,615025,33.387
17572,0,0,193579,estonia,167271,25.226
17572,0,0,343272,finland,1642021,26.117
17572,0,0,1208393,france,10499525,37.935
17572,0,0,4767703.75,germany,36364334,33.794
17572,0,0,198471,hungary,3083371,33.68
17572,0,0,1826721,italy,5144127,44.086
17572,0,0,9396,lithuania,218214,24.733
17572,0,0,7590,luxembourg,304711,32.346
17572,0,0,1290538.25,netherlands,8050994,38.142
17572,0,0,50357,norway,2792140,28.948
17572,0,0,2423307,poland,3028508,29.045
17572,0,0,437130,portugal,894390,52.721
17572,0,0,560117,romania,1111072,37.027
17572,0,0,60373,slovakia,529832,33.746
17572,0,0,1461078,spain,4596246,43.643
17579,0,0,315764,austria,4753787,31.245
17579,0,0,459826,belgium,6357037,35.043
17579,0,0,197032,bosnia_herzegovina,193391,NA
17579,0,0,401674,bulgaria,748143,39.014
17579,0,0,828006,czech_republic,1263200,28.903
17579,0,0,369344,denmark,605685,32.742
17579,0,0,175212,estonia,171765,17.221
17579,0,0,429627,finland,1787996,12.589
17579,0,0,1267409,france,9904577,36.946
17579,0,0,5903221.75,germany,35934179,32.929
17579,0,0,193545.25,hungary,3097535,33.617
17579,0,0,2030560,italy,5149980,46.505
17579,0,0,9245,lithuania,216670,19.878
17579,0,0,7913.25,luxembourg,311411,31.275
17579,0,0,1426231.25,netherlands,7995675,34.229
17579,0,0,50294,norway,2809190,25.089
17579,0,0,2526454,poland,3026903,28.558
17579,0,0,429510,portugal,869474,54.281
17579,0,0,607381,romania,1128018,34.021
17579,0,0,72118,slovakia,532800,31.493
17579,0,0,1429113,spain,4384774,44.043
17586,0,0,348586,austria,5092184,17.196
17586,0,0,392987,belgium,6542270,26.977
17586,0,0,179354,bosnia_herzegovina,210996,NA
17586,0,0,477910,bulgaria,841755,22.357
17586,0,0,860652,czech_republic,1382182,16.649
17586,0,0,304693,denmark,640249,22.751
17586,0,0,160999,estonia,183413,10.824
17586,0,0,453019,finland,1839060,7.251
17586,0,0,1370490,france,11496631,30.095
17586,0,0,4901928,germany,38300220,19.269
17586,0,0,212561.5,hungary,3215836,20.213
17586,0,0,1967131,italy,5283455,41.821
17586,0,0,12347,lithuania,234581,5.722
17586,0,0,6349.25,luxembourg,287890,23.029
17586,0,0,1155767.5,netherlands,8118505,26.265
17586,0,0,49822,norway,3002934,13.691
17586,0,0,2629492,poland,3181986,12.141
17586,0,0,417109,portugal,898064,54.503
17586,0,0,569620,romania,1172980,19.764
17586,0,0,78935,slovakia,561024,17.881
17586,0,0,1817830,spain,4535317,42.26
17593,0,0,264499,austria,4789075,34.956
17593,0,0,355707,belgium,6289514,42.214
17593,0,0,168442,bosnia_herzegovina,187086,NA
17593,0,0,402751,bulgaria,716065,43.831
17593,0,0,885229,czech_republic,1303994,32.864
17593,0,0,320365,denmark,630678,31.615
17593,0,0,201404,estonia,170554,21.633
17593,0,0,457889,finland,1759029,18.606
17593,0,0,955309,france,9434590,44.561
17593,0,0,5283359.5,germany,36192170,32.96
17593,0,0,184813,hungary,3132866,34.399
17593,0,0,1742622,italy,5099553,50.878
17593,0,0,8930,lithuania,223907,22.593
17593,0,0,5719.5,luxembourg,317457,38.862
17593,0,0,1249200.75,netherlands,7885429,40.434
