mth,country,category_group,mwh
2015-07-01,latvia,renewable_ex_nuclear,86672
2015-07-01,lithuania,fossil,156043
2015-07-01,lithuania,other,8272
2015-07-01,lithuania,renewable_ex_nuclear,171038
2015-07-01,luxembourg,fossil,18709.5
2015-07-01,luxembourg,renewable_ex_nuclear,17868
2015-07-01,montenegro,fossil,96381
2015-07-01,montenegro,renewable_ex_nuclear,57621
2015-07-01,netherlands,fossil,3841484.5
2015-07-01,netherlands,nuclear,272721.25
2015-07-01,netherlands,other,2009463.25
2015-07-01,netherlands,renewable_ex_nuclear,135936.75
2015-07-01,norway,fossil,205854
2015-07-01,norway,other,30911
2015-07-01,norway,renewable_ex_nuclear,7790181
2015-07-01,poland,fossil,9286090
2015-07-01,poland,renewable_ex_nuclear,853712
2015-07-01,portugal,fossil,2007068
2015-07-01,portugal,other,19307
2015-07-01,portugal,renewable_ex_nuclear,1403281
2015-07-01,romania,fossil,2257352
2015-07-01,romania,nuclear,847318
2015-07-01,romania,renewable_ex_nuclear,1331759
2015-07-01,slovakia,fossil,201541
2015-07-01,slovakia,nuclear,1004608
2015-07-01,slovakia,other,203041
2015-07-01,slovakia,renewable_ex_nuclear,340768
2015-07-01,slovenia,fossil,404975
2015-07-01,slovenia,nuclear,386129
2015-07-01,slovenia,renewable_ex_nuclear,314563
2015-07-01,spain,fossil,9747545
2015-07-01,spain,nuclear,4032446
2015-07-01,spain,other,53490
2015-07-01,spain,renewable_ex_nuclear,6164888
2015-07-01,sweden,nuclear,3664115
2015-07-01,sweden,other,153624
2015-07-01,sweden,renewable_ex_nuclear,5641321
2015-07-01,switzerland,nuclear,667902
2015-07-01,switzerland,renewable_ex_nuclear,1117690
2015-08-01,austria,fossil,305058
2015-08-01,austria,other,572470.25
2015-08-01,austria,renewable_ex_nuclear,2574870.25
2015-08-01,belgium,fossil,1642683
2015-08-01,belgium,nuclear,1213602
2015-08-01,belgium,other,287066
2015-08-01,belgium,renewable_ex_nuclear,903421
2015-08-01,bulgaria,fossil,1858745
2015-08-01,bulgaria,nuclear,1203517
2015-08-01,bulgaria,renewable_ex_nuclear,516882
2015-08-01,czech_republic,fossil,2579088
2015-08-01,czech_republic,nuclear,1739704
2015-08-01,czech_republic,renewable_ex_nuclear,905801
2015-08-01,denmark,fossil,560192
2015-08-01,denmark,renewable_ex_nuclear,752612
2015-08-01,estonia,fossil,495777
2015-08-01,estonia,renewable_ex_nuclear,71558
2015-08-01,finland,fossil,427841
2015-08-01,finland,nuclear,1438300
2015-08-01,finland,other,113519
2015-08-01,finland,renewable_ex_nuclear,1860163
2015-08-01,france,fossil,842532
2015-08-01,france,nuclear,27641857
2015-08-01,france,renewable_ex_nuclear,5218498
2015-08-01,germany,fossil,16692021.25
2015-08-01,germany,nuclear,6139748.75
2015-08-01,germany,other,2467942.25
2015-08-01,germany,renewable_ex_nuclear,12288316.75
2015-08-01,greece,fossil,2407022
2015-08-01,greece,renewable_ex_nuclear,1060378
2015-08-01,hungary,fossil,834098
2015-08-01,hungary,nuclear,954031.5
2015-08-01,hungary,other,48557
2015-08-01,hungary,renewable_ex_nuclear,77796.25
2015-08-01,ireland,fossil,1300982
2015-08-01,ireland,other,1498
2015-08-01,ireland,renewable_ex_nuclear,408926
2015-08-01,latvia,fossil,240865
2015-08-01,latvia,other,41516
